,Community,Result,Year,Above 15 ppb,Above 10 ppb,Above 5 ppb,Household_income,Black_income,American_Indian_Income,Asian_income,Hawaiian_income,White_income,Hispanic_income,Total_households,Self_employed,Not_self_employed,Area in Square Miles,Summarized area in Square Miles.1,Income_to_poverty_base,Income_below_poverty_level,Ratio_households_above_poverty_level,Summarized area in Square Miles.2,Percent_white,Percent_black,Percent_native_american,Percent_asian,Percent_hawaiian,Percent_hispanic,Population 9-47 mo1,Total Screened,Percent Screened,Percentage_0-4,Percentage_5-9,Percentage_10-24,Percentage_>25,Percent_Pre-1978_Housing_Units,Percentage_>5
84,GROVELAND,0.003998823529411766,2016.0,0.058823529411764705,0.11764705882352941,0.27058823529411763,97094.24880171,0.00021026,0.0,1.539e-05,0.0,96430.34966627,1.54e-06,2367.82564944,314.97680725,2052.84884219,9.39681592,9.396791,6522.92348092,93.95568484,24.19868741,9.19575017,93.6857666,0.89986329,0.0,0.19996962,0.0,4.89925567,190.0,152.0,80.0,98.0,0.0,0.0,0.0,65.0,0.0
85,HAMILTON,0.0068449999999999995,2016.0,0.05,0.075,0.125,126905.36506178,0.0,0.0,3.374e-05,0.0,131991.31034152,0.0,1371.57492983,217.14612926,1154.42880057,14.90078129,14.90167067,3881.81946218,81.27000495,27.54572544,14.60941092,92.62419847,0.21589585,0.0,4.9061138,0.11595862,1.25341713,269.0,256.0,95.0,99.6,0.0,0.0,0.0,74.0,0.0
86,HAMPDEN,0.031605681063122934,2017.471760797342,0.06976744186046512,0.09966777408637874,0.13953488372093023,85932.34727282,4.038e-05,0.0,0.0,0.0,85197.43838023,210286.93128284,1984.9045746,260.98745288,1723.91712172,19.64018904,19.64018377,5034.73698422,89.9595583,19.83590433,19.64018377,93.88836097,0.19997521,0.19997521,0.59992563,0.0,3.89951659,108.0,82.0,76.0,98.8,0.0,0.0,0.0,73.0,0.0
88,HAVERHILL,0.0017292502639915533,2016.180570221753,0.010559662090813094,0.01795142555438226,0.03801478352692714,88234.9365869,38855.59346093,0.0,8927.86454342,0.0,88060.04362266,37471.03449937,1702.13711102,155.5382497,1546.59886132,35.69706104,35.69674108,4197.16165021,109.5713779,24.10140581,34.33428322,82.63926081,2.64567076,0.01929339,1.90150557,0.0,8.97273499,2950.0,1764.0,60.0,98.3,1.2,0.5,0.0,66.0,1.4
89,HOLDEN,0.007600954979536151,2018.0,0.06684856753069578,0.0941336971350614,0.17871759890859482,105523.63190055,0.00320611,0.0,38860.25649068,0.0,106269.69699899,52771.93784218,1759.92836841,245.07502978,1514.85330112,36.32189873,36.32191621,4452.61693973,78.54763467,20.79859571,36.32191621,87.81681252,0.71484522,0.04044664,3.20940591,0.0,5.23792583,681.0,457.0,67.0,99.3,0.0,0.0,0.0,61.0,0.0
90,HOLLAND,0.0023837209302325583,2018.0,0.0,0.023255813953488372,0.18604651162790697,31803.56186185,0.0,0.0,0.0,0.0,31824.23570564,36453.82826548,813.95624577,104.99435603,708.96188975,13.05075249,13.05072269,2003.2553515,63.97621881,5.12453883,13.05072267,42.60609707,0.26965884,0.04494314,0.0,0.0,1.70783933,67.0,48.0,72.0,100.0,0.0,0.0,0.0,67.0,0.0
91,HOLLISTON,0.00030163170163170164,2016.0,0.004662004662004662,0.004662004662004662,0.006993006993006993,131196.12904445,0.0,0.0,162507.18291164,0.0,131484.56945115,74031.47535443,1715.74440444,325.81427416,1389.93013028,19.05349699,19.05329754,4409.08798791,73.17359272,21.08538176,19.05329751,88.40809822,1.08636145,0.0,4.1925767,0.0,3.86579555,472.0,373.0,79.0,98.4,1.6,0.0,0.0,72.0,0.0
92,HOLYOKE,0.022899719999999946,2016.239,0.214,0.273,0.462,68306.45965712,46622.71263507,916.55408921,8055.91553003,0.0,67199.32585995,56091.86766225,1691.39761783,177.82812543,1513.5694924,22.8003716,22.80062882,4071.34519966,210.77949951,12.40757984,21.97535691,70.2570129,3.01570666,0.1668754,1.14548951,0.0,24.77069351,1899.0,1316.0,69.0,97.3,1.9,0.8,0.1,83.0,2.3
93,HOPEDALE,0.0005778512396694215,2016.0,0.008264462809917356,0.008264462809917356,0.01652892561983471,107341.31877395,9.71e-06,0.0,0.00320527,0.0,107623.76903143,0.00161493,2258.34329499,193.77196109,2064.57032772,5.3487009,5.34863053,5818.39295743,70.76138298,29.45531905,5.34863054,95.91352741,0.59883562,0.0,0.39922423,0.0,2.19573109,176.0,139.0,79.0,97.1,0.0,0.0,0.0,61.0,0.0
94,HOPKINTON,0.006141190108191648,2018.466769706337,0.08500772797527048,0.11746522411128284,0.21638330757341576,166878.3653829,46691.84136276,0.0,242671.66479614,0.0,160657.18595447,0.00029284,2107.26441472,301.90166021,1805.36275451,27.85424673,27.85428298,5231.08854371,41.8113108,44.99229241,27.85428255,82.82626654,1.84033008,0.14590161,10.64825316,0.0,2.74021085,595.0,519.0,87.0,98.8,0.0,0.0,0.0,41.0,0.0
95,HUDSON,0.0021437269372693735,2017.0,0.01845018450184502,0.025830258302583026,0.055350553505535055,96283.63823999,16978.75037784,0.0,112518.06991774,0.0,99024.65903565,0.01300115,1853.75593758,279.31931596,1574.43662161,11.8640954,11.86929908,4704.45862439,126.17834528,16.99704982,11.86929917,89.14894856,0.85816144,0.0,3.18275804,0.0,4.81625445,750.0,474.0,63.0,98.9,0.0,0.0,0.0,60.0,0.0
